,Unnamed: 0,building_grade,people_grade,property_grade,indirect_grade,construction_grade,disaster_grade,clustering_KM,clustering_DB,clustering_AC,clustering_GMM
0,0,14,3,0,0,0,0,4,-1,3,0
1,1,14,3,1,0,0,0,4,-1,3,0
2,2,14,7,5,10,0,0,4,-1,3,1
3,3,14,7,2,10,0,0,4,-1,3,1
4,4,14,7,5,10,0,0,4,-1,3,1
5,5,14,7,5,10,0,0,4,-1,3,1
6,6,14,7,5,10,0,0,4,-1,3,1
7,7,14,5,7,8,0,0,4,-1,3,1
8,8,14,5,7,8,0,0,4,-1,3,1
9,9,14,5,3,8,0,0,4,-1,3,1
10,10,14,5,5,8,0,0,4,-1,3,1
11,11,12,3,3,2,0,0,4,-1,3,0
12,12,14,0,6,0,0,0,4,-1,3,0
13,13,14,7,5,8,0,0,4,-1,3,1
14,14,14,6,6,6,0,0,4,-1,3,1
15,15,14,0,4,6,0,0,4,-1,3,1
16,16,14,8,2,10,0,0,4,-1,3,1
17,17,16,7,2,10,0,0,4,-1,3,1
18,18,14,7,1,10,0,0,4,-1,3,1
19,19,16,7,2,10,0,0,4,-1,3,1
20,20,16,7,2,10,0,0,4,-1,3,1
21,21,16,7,3,10,0,0,4,-1,3,1
22,22,14,7,3,10,0,0,4,-1,3,1
23,23,14,7,4,10,0,0,4,-1,3,1
24,24,17,7,1,10,0,0,4,-1,3,1
25,25,14,8,4,10,0,0,4,-1,3,1
26,26,16,8,2,10,0,0,4,-1,3,1
27,27,17,6,0,10,0,0,4,-1,3,1
28,28,17,6,2,10,0,0,4,-1,3,1
29,29,17,6,2,10,0,0,4,-1,3,1
30,30,17,6,0,10,0,0,4,-1,3,1
31,31,17,6,0,10,0,0,4,-1,3,1
32,32,17,6,1,10,0,0,4,-1,3,1
33,33,17,6,2,10,0,0,4,-1,3,1
34,34,16,6,3,10,0,0,4,-1,3,1
35,35,14,6,2,10,0,0,4,-1,3,1
36,36,14,7,2,10,0,0,4,-1,3,1
37,37,17,6,2,10,0,0,4,-1,3,1
38,38,17,8,3,10,0,0,4,-1,3,1
39,39,17,8,1,10,0,0,4,-1,3,1
40,40,17,8,1,10,0,0,4,-1,3,1
41,41,16,5,1,10,0,0,4,-1,1,1
42,42,16,5,1,10,0,0,4,-1,1,1
43,43,14,7,0,10,0,0,4,-1,1,1
44,44,14,7,1,10,0,0,4,-1,1,1
45,45,16,6,0,10,0,0,4,-1,1,1
46,46,17,6,1,10,0,0,4,-1,1,1
47,47,14,8,0,10,0,0,4,-1,1,1
48,48,16,7,0,10,0,0,4,-1,1,1
49,49,14,6,0,10,0,0,4,-1,1,1
50,50,14,7,0,10,0,0,4,-1,1,1
51,51,16,8,0,10,0,0,4,-1,1,1
52,52,16,7,0,10,0,0,4,-1,1,1
53,53,16,7,0,10,0,0,4,-1,1,1
54,54,16,7,0,10,0,0,4,-1,1,1
55,55,14,7,1,10,0,0,4,-1,1,1
56,56,16,5,0,8,0,0,1,-1,1,1
57,57,16,5,0,8,0,0,1,-1,1,1
58,58,14,5,0,8,0,0,1,-1,1,1
59,59,16,2,0,8,0,0,1,-1,1,1
60,60,14,6,0,10,0,0,1,-1,1,1
61,61,16,4,0,10,0,0,1,-1,1,1
62,62,17,8,1,10,0,0,1,-1,1,1
63,63,17,8,0,10,0,0,1,-1,1,1
64,64,17,8,0,10,0,0,1,-1,1,1
65,65,17,8,1,10,0,0,1,-1,1,1
66,66,17,7,1,10,0,0,1,-1,1,1
67,67,17,9,0,10,0,0,1,-1,1,1
68,68,17,8,1,10,0,0,1,-1,1,1
69,69,14,8,1,10,0,0,1,-1,1,1
70,70,14,8,0,10,0,0,1,-1,1,1
71,71,17,8,1,10,0,0,1,-1,1,1
72,72,16,7,0,10,0,0,1,-1,1,1
73,73,17,8,0,10,0,0,1,-1,1,1
74,74,14,7,0,10,0,0,1,-1,1,1
75,75,16,6,1,10,0,0,1,-1,1,1
76,76,14,6,0,8,0,0,1,-1,1,1
77,77,14,5,0,8,0,0,1,-1,1,1
78,78,16,5,0,8,0,0,1,-1,1,1
79,79,14,8,0,8,0,0,1,-1,1,1
80,80,16,8,1,10,0,0,1,-1,1,1
81,81,16,8,0,10,0,0,1,-1,1,1
82,82,16,8,1,10,0,0,1,-1,1,1
83,83,16,8,1,10,0,0,1,-1,1,1
84,84,14,0,0,8,0,0,1,-1,1,0
85,85,14,8,0,8,0,0,1,-1,1,1
86,86,14,8,0,8,0,0,1,-1,1,1
87,87,16,1,3,10,0,0,1,-1,1,0
88,88,16,1,2,10,0,0,1,-1,1,0
89,89,14,3,4,0,0,0,1,-1,1,0
90,90,16,3,4,0,0,0,1,-1,1,0
91,91,14,5,4,0,0,0,1,-1,1,0
92,92,14,5,2,0,0,0,1,-1,1,0
93,93,14,5,3,0,0,0,1,-1,1,3
94,94,14,6,4,0,0,0,1,-1,1,3
95,95,14,0,6,0,2,10,1,-1,1,3
96,96,16,0,0,10,0,0,1,-1,1,0
97,97,12,2,4,0,0,0,1,-1,1,0
98,98,12,0,6,0,0,0,1,-1,1,0
99,99,14,1,5,0,0,0,1,-1,1,0
100,100,12,2,4,0,0,0,1,-1,1,0
101,101,12,0,6,0,0,0,1,-1,1,0
102,102,14,1,4,0,0,0,1,-1,1,0
103,103,14,3,4,0,0,0,1,-1,1,0
104,104,14,1,2,0,0,0,1,-1,1,0
105,105,14,1,5,6,0,0,1,-1,0,0
106,106,14,1,6,6,0,0,1,-1,0,0
107,107,14,2,2,10,0,0,1,-1,0,0
108,108,14,2,3,10,0,0,1,-1,0,0
109,109,14,1,0,0,0,0,1,-1,0,0
110,110,14,2,2,6,0,0,1,-1,0,0
111,111,16,1,0,0,0,0,1,-1,0,0
112,112,14,3,5,0,0,0,1,-1,0,0
113,113,14,3,5,0,0,0,0,-1,0,0
114,114,14,4,1,0,0,0,0,-1,0,0
115,115,14,1,2,0,0,10,0,-1,0,3
116,116,16,1,2,4,0,0,0,-1,0,0
117,117,14,4,2,4,0,0,0,-1,0,0
118,118,16,4,2,4,0,0,0,-1,0,0
119,119,14,0,2,4,2,0,0,-1,0,0
120,120,14,1,2,10,0,0,0,-1,0,0
121,121,14,1,4,10,0,0,0,-1,0,0
122,122,14,0,8,2,0,0,0,-1,0,0
123,123,14,2,7,0,0,0,0,-1,0,0
124,124,14,2,6,0,0,0,0,-1,0,0
125,125,14,2,6,0,0,0,0,-1,0,0
126,126,14,2,2,0,0,0,0,-1,0,0
127,127,14,0,9,0,2,0,0,-1,0,0
128,128,16,0,6,0,0,0,0,-1,0,0
129,129,14,0,5,2,0,0,0,-1,0,0
130,130,14,0,4,0,0,0,0,-1,0,0
131,131,12,0,8,0,0,0,0,-1,0,0
132,132,12,0,8,0,0,0,0,-1,0,0
133,133,12,0,7,0,0,0,0,-1,0,0
134,134,14,3,4,8,2,0,0,-1,0,0
135,135,14,4,0,8,2,0,0,-1,0,0
136,136,16,0,0,0,2,0,0,-1,0,0
137,137,14,0,3,0,0,0,0,-1,0,0
138,138,14,0,6,10,0,0,0,-1,0,0
139,139,14,0,7,10,0,0,0,-1,0,0
140,140,14,0,6,10,0,0,0,-1,0,0
141,141,14,0,6,10,0,0,0,-1,0,0
142,142,14,1,6,0,2,0,0,-1,0,0
143,143,14,2,6,0,0,0,0,-1,0,0
144,144,14,4,6,0,0,0,0,-1,0,0
145,145,14,4,4,0,0,0,0,-1,0,0
146,146,14,1,5,0,0,0,0,-1,0,0
147,147,14,0,7,0,2,0,0,-1,0,0
148,148,14,0,7,0,2,0,0,-1,0,0
149,149,14,0,7,0,2,0,0,-1,0,0
150,150,14,0,7,0,2,0,0,-1,0,0
151,151,12,2,7,0,0,0,0,-1,0,0
152,152,14,2,7,0,0,0,0,-1,0,0
153,153,12,2,8,0,0,0,0,-1,0,0
154,154,14,3,0,0,0,0,0,-1,0,0
155,155,14,3,0,0,0,0,0,-1,0,0
156,156,16,2,0,0,0,0,0,-1,0,0
157,157,14,2,0,0,0,0,0,-1,0,0
158,158,14,4,6,0,0,0,0,-1,0,0
159,159,14,4,3,0,0,0,0,-1,0,0
160,160,14,4,3,0,0,0,0,-1,0,0
161,161,14,5,4,6,0,0,0,-1,0,0
162,162,14,5,4,6,0,0,0,-1,0,0
163,163,14,5,4,6,0,0,0,-1,0,0
164,164,14,5,0,10,0,0,0,-1,0,0
165,165,14,5,5,10,0,0,0,-1,0,0
166,166,14,5,4,6,2,0,0,-1,0,0
167,167,14,5,2,6,2,0,0,-1,0,0
168,168,14,5,5,10,0,0,0,-1,0,0
169,169,14,5,5,10,0,0,0,-1,0,0
170,170,14,5,5,10,0,0,0,-1,0,0
171,171,14,6,1,4,2,0,2,-1,0,0
172,172,14,6,1,4,2,0,2,-1,0,0
173,173,14,2,4,0,0,0,2,-1,0,0
174,174,14,2,4,0,0,0,2,-1,0,0
175,175,14,1,7,0,2,0,2,-1,0,0
176,176,14,2,6,6,0,0,2,-1,0,0
177,177,14,2,5,6,0,0,2,-1,0,0
178,178,14,0,2,0,0,0,2,-1,0,0
179,179,16,1,5,0,0,0,2,-1,0,0
180,180,14,1,5,0,0,0,2,-1,0,0
181,181,14,1,5,0,0,0,2,-1,0,0
182,182,14,0,4,0,0,0,2,-1,0,0
183,183,14,3,4,0,0,0,2,-1,0,0
184,184,14,3,3,0,0,0,2,-1,0,0
185,185,14,3,4,0,0,0,2,-1,0,0
186,186,16,3,3,0,0,0,2,-1,0,0
187,187,16,2,5,6,0,0,2,-1,4,0
188,188,14,3,0,6,0,0,2,-1,4,0
189,189,14,3,0,6,0,0,2,-1,4,0
190,190,16,5,6,0,0,0,2,-1,4,0
191,191,14,5,3,0,0,0,2,-1,4,0
192,192,16,5,6,0,0,0,2,-1,4,0
193,193,14,0,2,6,0,0,2,-1,4,0
194,194,14,2,0,0,0,0,2,-1,4,0
195,195,14,3,0,2,0,0,2,-1,4,0
196,196,16,3,2,2,0,0,2,-1,4,0
197,197,14,3,6,0,0,0,2,-1,4,0
198,198,14,4,5,0,0,0,2,-1,4,0
199,199,14,4,5,0,0,0,2,-1,4,0
200,200,16,0,1,0,0,0,2,-1,4,0
201,201,14,0,1,0,0,0,2,-1,4,0
202,202,14,0,2,8,0,0,2,-1,4,0
203,203,14,4,3,6,0,0,2,-1,4,0
204,204,17,4,7,6,0,0,2,-1,4,0
205,205,14,0,7,6,0,0,2,-1,4,0
206,206,14,2,8,6,2,0,2,-1,4,0
207,207,14,2,9,6,2,0,2,-1,4,0
208,208,16,6,8,8,0,0,2,-1,4,0
209,209,14,6,8,8,0,0,2,-1,4,0
210,210,14,0,7,0,0,10,2,-1,4,2
211,211,16,0,8,0,0,10,2,-1,4,2
212,212,16,6,7,10,2,0,2,-1,4,2
213,213,14,6,6,10,2,0,2,-1,4,2
