,building_grade,people_grade,property_grade,indirect_grade,construction_grade,disaster_grade
0,14,3,0,0,0,0
1,14,3,1,0,0,0
2,14,7,5,10,0,0
3,14,7,2,10,0,0
4,14,7,5,10,0,0
5,14,7,5,10,0,0
6,14,7,5,10,0,0
7,14,5,7,8,0,0
8,14,5,7,8,0,0
9,14,5,3,8,0,0
10,14,5,5,8,0,0
11,12,3,3,2,0,0
12,14,0,6,0,0,0
13,14,7,5,8,0,0
14,14,6,6,6,0,0
15,14,0,4,6,0,0
16,14,8,2,10,0,0
17,16,7,2,10,0,0
18,14,7,1,10,0,0
19,16,7,2,10,0,0
20,16,7,2,10,0,0
21,16,7,3,10,0,0
22,14,7,3,10,0,0
23,14,7,4,10,0,0
24,17,7,1,10,0,0
25,14,8,4,10,0,0
26,16,8,2,10,0,0
27,17,6,0,10,0,0
28,17,6,2,10,0,0
29,17,6,2,10,0,0
30,17,6,0,10,0,0
31,17,6,0,10,0,0
32,17,6,1,10,0,0
33,17,6,2,10,0,0
34,16,6,3,10,0,0
35,14,6,2,10,0,0
36,14,7,2,10,0,0
37,17,6,2,10,0,0
38,17,8,3,10,0,0
39,17,8,1,10,0,0
40,17,8,1,10,0,0
41,16,5,1,10,0,0
42,16,5,1,10,0,0
43,14,7,0,10,0,0
44,14,7,1,10,0,0
45,16,6,0,10,0,0
46,17,6,1,10,0,0
47,14,8,0,10,0,0
48,16,7,0,10,0,0
49,14,6,0,10,0,0
50,14,7,0,10,0,0
51,16,8,0,10,0,0
52,16,7,0,10,0,0
53,16,7,0,10,0,0
54,16,7,0,10,0,0
55,14,7,1,10,0,0
56,16,5,0,8,0,0
57,16,5,0,8,0,0
58,14,5,0,8,0,0
59,16,2,0,8,0,0
60,14,6,0,10,0,0
61,16,4,0,10,0,0
62,17,8,1,10,0,0
63,17,8,0,10,0,0
64,17,8,0,10,0,0
65,17,8,1,10,0,0
66,17,7,1,10,0,0
67,17,9,0,10,0,0
68,17,8,1,10,0,0
69,14,8,1,10,0,0
70,14,8,0,10,0,0
71,17,8,1,10,0,0
72,16,7,0,10,0,0
73,17,8,0,10,0,0
74,14,7,0,10,0,0
75,16,6,1,10,0,0
76,14,6,0,8,0,0
77,14,5,0,8,0,0
78,16,5,0,8,0,0
79,14,8,0,8,0,0
80,16,8,1,10,0,0
81,16,8,0,10,0,0
82,16,8,1,10,0,0
83,16,8,1,10,0,0
84,14,0,0,8,0,0
85,14,8,0,8,0,0
86,14,8,0,8,0,0
87,16,1,3,10,0,0
88,16,1,2,10,0,0
89,14,3,4,0,0,0
90,16,3,4,0,0,0
91,14,5,4,0,0,0
92,14,5,2,0,0,0
93,14,5,3,0,0,0
94,14,6,4,0,0,0
95,14,0,6,0,2,10
96,16,0,0,10,0,0
97,12,2,4,0,0,0
98,12,0,6,0,0,0
99,14,1,5,0,0,0
100,12,2,4,0,0,0
101,12,0,6,0,0,0
102,14,1,4,0,0,0
103,14,3,4,0,0,0
104,14,1,2,0,0,0
105,14,1,5,6,0,0
106,14,1,6,6,0,0
107,14,2,2,10,0,0
108,14,2,3,10,0,0
109,14,1,0,0,0,0
110,14,2,2,6,0,0
111,16,1,0,0,0,0
112,14,3,5,0,0,0
113,14,3,5,0,0,0
114,14,4,1,0,0,0
115,14,1,2,0,0,10
116,16,1,2,4,0,0
117,14,4,2,4,0,0
118,16,4,2,4,0,0
119,14,0,2,4,2,0
120,14,1,2,10,0,0
121,14,1,4,10,0,0
122,14,0,8,2,0,0
123,14,2,7,0,0,0
124,14,2,6,0,0,0
125,14,2,6,0,0,0
126,14,2,2,0,0,0
127,14,0,9,0,2,0
128,16,0,6,0,0,0
129,14,0,5,2,0,0
130,14,0,4,0,0,0
131,12,0,8,0,0,0
132,12,0,8,0,0,0
133,12,0,7,0,0,0
134,14,3,4,8,2,0
135,14,4,0,8,2,0
136,16,0,0,0,2,0
137,14,0,3,0,0,0
138,14,0,6,10,0,0
139,14,0,7,10,0,0
140,14,0,6,10,0,0
