,people_grade,disaster_grade,indirect_grade,building_grade,predict
0,5,0,0,60,4
1,2,0,0,60,1
2,0,0,0,60,1
3,9,0,1,60,4
4,9,0,0,60,4
5,8,0,0,60,4
6,0,0,0,60,1
7,8,0,0,60,4
8,8,0,0,60,4
9,9,0,1,100,2
10,9,0,3,60,4
11,9,0,3,60,4
12,9,0,3,60,4
13,9,0,3,60,4
14,9,0,3,60,4
15,5,0,1,60,4
16,5,0,1,60,4
17,5,0,1,60,4
18,5,0,1,60,4
19,5,0,1,100,2
20,5,0,0,60,4
21,7,0,1,60,4
22,7,0,1,60,4
23,9,0,0,60,4
24,3,0,1,60,1
25,2,0,4,60,1
26,1,0,4,20,0
27,1,0,4,60,1
28,1,0,4,20,0
29,1,0,4,20,0
30,1,0,4,20,0
31,1,0,4,60,1
32,1,0,4,60,1
33,1,0,4,50,3
34,3,0,4,60,1
35,2,0,4,20,0
36,0,0,4,50,3
37,0,0,4,50,3
38,0,0,4,50,3
39,0,0,4,50,3
40,0,0,4,50,3
41,0,0,4,50,3
42,0,0,4,50,3
43,0,0,4,20,0
44,0,0,4,60,1
45,1,0,4,60,1
46,0,0,4,50,3
47,2,0,4,50,3
48,2,0,4,50,3
49,2,0,4,50,3
50,0,0,4,20,0
51,0,0,4,20,0
52,1,0,4,60,1
53,1,0,4,60,1
54,0,0,4,20,0
55,0,0,4,50,3
56,2,0,4,60,1
57,1,0,4,20,0
58,0,0,4,60,1
59,1,0,4,60,1
60,3,0,4,20,0
61,1,0,4,20,0
62,1,0,4,20,0
63,1,0,4,20,0
64,1,0,4,60,1
65,3,0,1,20,0
66,3,0,1,20,0
67,3,0,1,60,1
68,0,0,1,20,0
69,0,0,4,60,1
70,0,0,4,20,0
71,5,0,4,50,3
72,3,0,4,50,3
73,3,0,4,50,3
74,3,0,4,50,3
75,2,0,4,50,3
76,8,0,4,50,3
77,5,0,4,50,3
78,2,0,4,60,1
79,2,0,4,60,1
80,3,0,4,50,3
81,1,0,4,20,0
82,3,0,4,50,3
83,1,0,4,60,1
84,0,0,4,20,0
85,4,0,1,60,1
86,3,0,1,60,1
87,3,0,1,20,0
88,9,0,1,60,4
89,3,0,4,20,0
90,3,0,4,20,0
91,3,0,4,20,0
92,3,0,4,20,0
93,0,0,1,60,1
94,9,0,1,60,4
95,9,0,1,60,4
96,8,0,1,60,4
97,9,0,1,60,4
98,2,0,2,20,0
99,2,0,2,20,0
100,3,0,0,60,1
101,3,0,0,20,0
102,7,0,0,60,4
103,7,0,0,60,4
104,7,0,0,60,4
105,8,0,0,60,4
106,3,2,0,60,1
107,4,0,3,20,0
108,2,0,0,100,2
109,2,0,0,100,2
110,1,0,0,60,1
