세부용도명,법정동명지번,Latitude,Longitude
한의원,전라북도 전주시 덕진구 진북동292-7,35.8279615,127.1414719
중학교,전라북도 전주시 덕진구 진북동301-19,35.8280581,127.138342
도서관,전라북도 전주시 덕진구 진북동301-70,35.8291331,127.1378158
도서관,전라북도 전주시 덕진구 진북동301-70,35.8291331,127.1378158
병원,전라북도 전주시 덕진구 진북동321-7,35.8294028,127.1432615
한의원,전라북도 전주시 덕진구 진북동324-5,35.8319093,127.1448959
한의원,전라북도 전주시 덕진구 진북동325-1,35.8321143,127.1445816
노인복지시설,전라북도 전주시 덕진구 진북동339-4,35.832076,127.1423695
기타노유자시설,전라북도 전주시 덕진구 진북동339-6,35.8318687,127.1426119
요양병원,전라북도 전주시 덕진구 진북동359-6,35.8292381,127.14127
어린이집,전라북도 전주시 덕진구 진북동363-3,35.830282,127.1406699
초등학교,전라북도 전주시 덕진구 진북동382-1,35.8301251,127.1375173
초등학교,전라북도 전주시 덕진구 진북동382-1,35.8301251,127.1375173
초등학교,전라북도 전주시 덕진구 진북동382-1,35.8301251,127.1375173
도서관,전라북도 전주시 덕진구 진북동382-1,35.8301251,127.1375173
교육(연수)원,전라북도 전주시 덕진구 진북동774-8,35.8339618,127.1262525
기타노유자시설,전라북도 전주시 덕진구 진북동834-31,35.8296515,127.1308187
노인복지시설,전라북도 전주시 덕진구 진북동929,35.8205394,127.1339635
노인복지시설,전라북도 전주시 덕진구 진북동975-15,35.8239591,127.131101
노인복지시설,전라북도 전주시 덕진구 진북동992-55,35.8253175,127.1296242
병원,전라북도 전주시 덕진구 진북동1021-2,35.8287754,127.1348192
노인복지시설,전라북도 전주시 덕진구 진북동1031-5,35.827886,127.1327094
유치원,전라북도 전주시 덕진구 진북동1034-1,35.8266105,127.1334449
초등학교,전라북도 전주시 덕진구 진북동1046-1,35.8260289,127.1320346
초등학교,전라북도 전주시 덕진구 진북동1046-1,35.8260289,127.1320346
초등학교,전라북도 전주시 덕진구 진북동1046-1,35.8260289,127.1320346
초등학교,전라북도 전주시 덕진구 진북동1046-1,35.8260289,127.1320346
초등학교,전라북도 전주시 덕진구 진북동1046-1,35.8260289,127.1320346
초등학교,전라북도 전주시 덕진구 진북동1046-1,35.8260289,127.1320346
노인복지시설,전라북도 전주시 덕진구 진북동1124-125,35.8212182,127.1338488
도서관,전라북도 전주시 덕진구 진북동1144-2,35.831481,127.1314185
고등학교,전라북도 전주시 덕진구 진북동1144-9,35.8318513,127.1312806
위험물저장및처리시설,전라북도 전주시 덕진구 진북동1152-4,35.8285635,127.1300613
노인복지시설,전라북도 전주시 덕진구 진북동1164-2,35.8332378,127.1292012
기타아동관련시설,전라북도 전주시 덕진구 인후동1가15,35.8222632,127.1679706
유치원,전라북도 전주시 덕진구 인후동1가15,35.8222632,127.1679706
고등학교,전라북도 전주시 덕진구 인후동1가109-2,35.8284995,127.1687677
고등학교,전라북도 전주시 덕진구 인후동1가109-2,35.8284995,127.1687677
고등학교,전라북도 전주시 덕진구 인후동1가109-2,35.8284995,127.1687677
고등학교,전라북도 전주시 덕진구 인후동1가109-2,35.8284995,127.1687677
고등학교,전라북도 전주시 덕진구 인후동1가109-2,35.8284995,127.1687677
고등학교,전라북도 전주시 덕진구 인후동1가109-2,35.8284995,127.1687677
고등학교,전라북도 전주시 덕진구 인후동1가109-2,35.8284995,127.1687677
중학교,전라북도 전주시 덕진구 인후동1가117,35.8294565,127.1657517
중학교,전라북도 전주시 덕진구 인후동1가117,35.8294565,127.1657517
중학교,전라북도 전주시 덕진구 인후동1가117,35.8294565,127.1657517
중학교,전라북도 전주시 덕진구 인후동1가117,35.8294565,127.1657517
노인복지시설,전라북도 전주시 덕진구 인후동1가157-114,35.8298088,127.1546492
공장,전라북도 전주시 덕진구 인후동1가411-4,35.8357097,127.1612134
초등학교,전라북도 전주시 덕진구 인후동1가431-3,35.8346915,127.1597066
초등학교,전라북도 전주시 덕진구 인후동1가431-3,35.8346915,127.1597066
초등학교,전라북도 전주시 덕진구 인후동1가431-3,35.8346915,127.1597066
초등학교,전라북도 전주시 덕진구 인후동1가431-3,35.8346915,127.1597066
기타학교,전라북도 전주시 덕진구 인후동1가500-37,35.8393054,127.1592097
고등학교,전라북도 전주시 덕진구 인후동1가500-37,35.8393054,127.1592097
고등학교,전라북도 전주시 덕진구 인후동1가500-37,35.8393054,127.1592097
기타학교,전라북도 전주시 덕진구 인후동1가500-37,35.8393054,127.1592097
고등학교,전라북도 전주시 덕진구 인후동1가500-37,35.8393054,127.1592097
고등학교,전라북도 전주시 덕진구 인후동1가500-37,35.8393054,127.1592097
고등학교,전라북도 전주시 덕진구 인후동1가500-37,35.8393054,127.1592097
요양병원,전라북도 전주시 덕진구 인후동1가500-77,35.8377737,127.1587587
한의원,전라북도 전주시 덕진구 인후동1가500-81,35.837377,127.1583622
도서관,전라북도 전주시 덕진구 인후동1가532-3,35.8395351,127.1634489
초등학교,전라북도 전주시 덕진구 인후동1가575-1,35.8393045,127.1522694
초등학교,전라북도 전주시 덕진구 인후동1가575-1,35.8393045,127.1522694
초등학교,전라북도 전주시 덕진구 인후동1가575-1,35.8393045,127.1522694
초등학교,전라북도 전주시 덕진구 인후동1가575-1,35.8393045,127.1522694
어린이집,전라북도 전주시 덕진구 인후동1가575-3,35.837895,127.1526762
한방병원,전라북도 전주시 덕진구 인후동1가594-7,35.8356239,127.1500239
노인복지시설,전라북도 전주시 덕진구 인후동1가705-83,35.8299402,127.1496308
초등학교,전라북도 전주시 덕진구 인후동1가750-1,35.8421911,127.1556956
초등학교,전라북도 전주시 덕진구 인후동1가750-1,35.8421911,127.1556956
초등학교,전라북도 전주시 덕진구 인후동1가750-1,35.8421911,127.1556956
초등학교,전라북도 전주시 덕진구 인후동1가750-1,35.8421911,127.1556956
영유아보육시설,전라북도 전주시 덕진구 인후동1가753-1,35.8416204,127.1568197
영유아보육시설,전라북도 전주시 덕진구 인후동1가753-1,35.8416204,127.1568197
유치원,전라북도 전주시 덕진구 인후동1가760-1,35.8404507,127.1572339
노인복지시설,전라북도 전주시 덕진구 인후동1가763-5,35.8385055,127.1576009
유치원,전라북도 전주시 덕진구 인후동1가764-9,35.8387747,127.1567867
기타아동관련시설,전라북도 전주시 덕진구 인후동1가772-11,35.8360131,127.153709
기타아동관련시설,전라북도 전주시 덕진구 인후동1가777-2,35.834147,127.1544184
위험물저장소,전라북도 전주시 덕진구 인후동1가778-2,35.8343127,127.1551648
노인복지시설,전라북도 전주시 덕진구 인후동1가820-10,35.8329849,127.1591225
병원,전라북도 전주시 덕진구 인후동1가822-4,35.8320989,127.1592492
지역아동센터,전라북도 전주시 덕진구 인후동1가843-18,35.8311055,127.1619414
초등학교,전라북도 전주시 덕진구 인후동1가844,35.8318716,127.1625875
초등학교,전라북도 전주시 덕진구 인후동1가844,35.8318716,127.1625875
유치원,전라북도 전주시 덕진구 인후동1가850-11,35.8348431,127.1667202
기숙사,전라북도 전주시 덕진구 인후동1가853-3,35.8336662,127.1640241
유치원,전라북도 전주시 덕진구 인후동1가858-2,35.8320656,127.1658528
유치원,전라북도 전주시 덕진구 인후동1가874-3,35.8296051,127.1624929
기타아동관련시설,전라북도 전주시 덕진구 인후동1가876-8,35.8299167,127.1632444
유치원,전라북도 전주시 덕진구 인후동1가884-10,35.8290045,127.163617
어린이집,전라북도 전주시 덕진구 인후동1가884-11,35.8292299,127.163494
요양병원,전라북도 전주시 덕진구 인후동1가887-1,35.8280844,127.1619455
유치원,전라북도 전주시 덕진구 인후동1가890-5,35.8298956,127.1648628
기타아동관련시설,전라북도 전주시 덕진구 인후동1가895-9,35.8281982,127.1640516
어린이집,전라북도 전주시 덕진구 인후동1가900-3,35.8271544,127.1628783
어린이집,전라북도 전주시 덕진구 인후동1가900-14,35.8275217,127.1625624
어린이집,전라북도 전주시 덕진구 인후동1가901-3,35.8273654,127.163663
유치원,전라북도 전주시 덕진구 인후동1가902-2,35.82778,127.1639331
영유아보육시설,전라북도 전주시 덕진구 인후동1가903-4,35.8276921,127.1645107
기타아동관련시설,전라북도 전주시 덕진구 인후동1가905-6,35.8253371,127.1619434
유치원,전라북도 전주시 덕진구 인후동1가905-7,35.8251692,127.1620326
기숙사,전라북도 전주시 덕진구 인후동1가906-4,35.8253307,127.1624448
도서관,전라북도 전주시 덕진구 인후동1가907-1,35.8261922,127.1626815
위험물저장및처리시설,전라북도 전주시 덕진구 인후동1가910-7,35.8264952,127.1638636
노인복지시설,전라북도 전주시 덕진구 인후동1가914-2,35.8258253,127.1638385
초등학교,전라북도 전주시 덕진구 인후동1가917,35.8269357,127.1649923
영유아보육시설,전라북도 전주시 덕진구 인후동1가931-6,35.8252822,127.1659614
유치원,전라북도 전주시 덕진구 인후동1가943-7,35.8241282,127.1670923
기숙사,전라북도 전주시 덕진구 인후동1가951-9,35.8251207,127.1676309
노유자시설,전라북도 전주시 덕진구 인후동1가953-11,35.8236134,127.1677108
위험물저장및처리시설,전라북도 전주시 덕진구 인후동2가4-173,35.8415245,127.1515251
고등학교,전라북도 전주시 덕진구 인후동2가24,35.8387135,127.147982
고등학교,전라북도 전주시 덕진구 인후동2가24,35.8387135,127.147982
고등학교,전라북도 전주시 덕진구 인후동2가24,35.8387135,127.147982
고등학교,전라북도 전주시 덕진구 인후동2가24,35.8387135,127.147982
고등학교,전라북도 전주시 덕진구 인후동2가24,35.8387135,127.147982
고등학교,전라북도 전주시 덕진구 인후동2가24,35.8387135,127.147982
고등학교,전라북도 전주시 덕진구 인후동2가24,35.8387135,127.147982
중학교,전라북도 전주시 덕진구 인후동2가43489,35.8428341,127.1484577
중학교,전라북도 전주시 덕진구 인후동2가43489,35.8428341,127.1484577
중학교,전라북도 전주시 덕진구 인후동2가43489,35.8428341,127.1484577
중학교,전라북도 전주시 덕진구 인후동2가43489,35.8428341,127.1484577
중학교,전라북도 전주시 덕진구 인후동2가43489,35.8428341,127.1484577
중학교,전라북도 전주시 덕진구 인후동2가43489,35.8428341,127.1484577
중학교,전라북도 전주시 덕진구 인후동2가43489,35.8428341,127.1484577
중학교,전라북도 전주시 덕진구 인후동2가43489,35.8428341,127.1484577
중학교,전라북도 전주시 덕진구 인후동2가43489,35.8428341,127.1484577
중학교,전라북도 전주시 덕진구 인후동2가43489,35.8428341,127.1484577
중학교,전라북도 전주시 덕진구 인후동2가43489,35.8428341,127.1484577
고등학교,전라북도 전주시 덕진구 인후동2가12785,35.8428341,127.1484577
고등학교,전라북도 전주시 덕진구 인후동2가12785,35.8428341,127.1484577
고등학교,전라북도 전주시 덕진구 인후동2가12785,35.8428341,127.1484577
고등학교,전라북도 전주시 덕진구 인후동2가12785,35.8428341,127.1484577
고등학교,전라북도 전주시 덕진구 인후동2가12785,35.8428341,127.1484577
고등학교,전라북도 전주시 덕진구 인후동2가12785,35.8428341,127.1484577
고등학교,전라북도 전주시 덕진구 인후동2가12785,35.8428341,127.1484577
고등학교,전라북도 전주시 덕진구 인후동2가12785,35.8428341,127.1484577
초등학교,전라북도 전주시 덕진구 인후동2가39-13,35.8393814,127.1448157
초등학교,전라북도 전주시 덕진구 인후동2가39-13,35.8393814,127.1448157
초등학교,전라북도 전주시 덕진구 인후동2가39-13,35.8393814,127.1448157
초등학교,전라북도 전주시 덕진구 인후동2가39-13,35.8393814,127.1448157
중학교,전라북도 전주시 덕진구 인후동2가39-16,35.8383053,127.1452047
중학교,전라북도 전주시 덕진구 인후동2가39-16,35.8383053,127.1452047
중학교,전라북도 전주시 덕진구 인후동2가39-16,35.8383053,127.1452047
중학교,전라북도 전주시 덕진구 인후동2가39-16,35.8383053,127.1452047
노인복지시설,전라북도 전주시 덕진구 인후동2가63-270,35.8414877,127.1493725
대학교,전라북도 전주시 덕진구 인후동2가71-35,35.8476542,127.1435092
의료시설,전라북도 전주시 덕진구 인후동2가228-16,35.8347411,127.1480643
영유아보육시설,전라북도 전주시 덕진구 인후동2가1524-29,35.8404699,127.1455379
유치원,전라북도 전주시 덕진구 인후동2가1525-7,35.8402594,127.1462276
병원,전라북도 전주시 덕진구 인후동2가1529-8,35.8440251,127.1459846
한의원,전라북도 전주시 덕진구 인후동2가1530-14,35.8449391,127.1453516
초등학교,전라북도 전주시 덕진구 인후동2가1536,35.8436243,127.1474158
초등학교,전라북도 전주시 덕진구 인후동2가1536,35.8436243,127.1474158
초등학교,전라북도 전주시 덕진구 인후동2가1536,35.8436243,127.1474158
영유아보육시설,전라북도 전주시 덕진구 인후동2가1543-19,35.8413712,127.1466706
노인복지시설,전라북도 전주시 덕진구 인후동2가1556-1,35.8448602,127.1496011
어린이집,전라북도 전주시 덕진구 인후동2가1559-74,35.8476141,127.1497942
노인복지시설,전라북도 전주시 덕진구 인후동2가1559-75,35.8476717,127.1499043
대학교,전라북도 전주시 덕진구 인후동2가43515,35.8428341,127.1484577
대학교,전라북도 전주시 덕진구 덕진동1가664-14,35.844182,127.1292776
대학교,전라북도 전주시 덕진구 덕진동1가664-14,35.844182,127.1292776
대학교,전라북도 전주시 덕진구 덕진동1가664-14,35.844182,127.1292776
대학교,전라북도 전주시 덕진구 덕진동1가664-14,35.844182,127.1292776
대학교,전라북도 전주시 덕진구 덕진동1가664-14,35.844182,127.1292776
대학교,전라북도 전주시 덕진구 덕진동1가664-14,35.844182,127.1292776
대학교,전라북도 전주시 덕진구 덕진동1가664-14,35.844182,127.1292776
대학교,전라북도 전주시 덕진구 덕진동1가664-14,35.844182,127.1292776
대학교,전라북도 전주시 덕진구 덕진동1가664-14,35.844182,127.1292776
대학교,전라북도 전주시 덕진구 덕진동1가664-14,35.844182,127.1292776
대학교,전라북도 전주시 덕진구 덕진동1가664-14,35.844182,127.1292776
대학교,전라북도 전주시 덕진구 덕진동1가664-14,35.844182,127.1292776
대학교,전라북도 전주시 덕진구 덕진동1가664-14,35.844182,127.1292776
대학교,전라북도 전주시 덕진구 덕진동1가664-14,35.844182,127.1292776
대학교,전라북도 전주시 덕진구 덕진동1가664-14,35.844182,127.1292776
대학교,전라북도 전주시 덕진구 덕진동1가664-14,35.844182,127.1292776
대학교,전라북도 전주시 덕진구 덕진동1가664-14,35.844182,127.1292776
대학교,전라북도 전주시 덕진구 덕진동1가664-14,35.844182,127.1292776
대학교,전라북도 전주시 덕진구 덕진동1가664-14,35.844182,127.1292776
대학교,전라북도 전주시 덕진구 덕진동1가664-14,35.844182,127.1292776
대학교,전라북도 전주시 덕진구 덕진동1가664-14,35.844182,127.1292776
대학교,전라북도 전주시 덕진구 덕진동1가664-14,35.844182,127.1292776
대학교,전라북도 전주시 덕진구 덕진동1가664-14,35.844182,127.1292776
대학교,전라북도 전주시 덕진구 덕진동1가664-14,35.844182,127.1292776
대학교,전라북도 전주시 덕진구 덕진동1가664-14,35.844182,127.1292776
대학교,전라북도 전주시 덕진구 덕진동1가664-14,35.844182,127.1292776
대학교,전라북도 전주시 덕진구 덕진동1가664-14,35.844182,127.1292776
대학교,전라북도 전주시 덕진구 덕진동1가664-14,35.844182,127.1292776
대학교,전라북도 전주시 덕진구 덕진동1가664-14,35.844182,127.1292776
