subject,주소,Latitude,Longitude
"맑은물공급사업 2단계 1,2차 2019년 7월 23일 작업일보입니다.",효자3-3,35.8065558,127.1103379
"맑은물공급사업 2단계 1,2차 7.19 작업일보입니다.",전라북도 전주시 효자3-5,35.8256729,127.110712
"맑은물공급사업 2단계 1,2차 7.17 작업일보입니다.",전라북도 전주시 대성2-4,35.8549266,127.0890656
"맑은물공급사업 2단계 1,2차 7.16 작업일보입니다.",전라북도 전주시 대성2-5,35.8338863,127.1374735
"맑은물공급사업 2단계 1,2차 7.15 작업일보입니다.",전라북도 전주시 대성3-1,35.8202239,127.147696
"맑은물공급사업 2단계 1,2차 7.12 작업일보입니다.",전라북도 전주시 대성3-4,35.8216993,127.1443857
"맑은물공급사업 2단계 1,2차 7.10 작업일보입니다.",전라북도 전주시 대성3-5,35.8216993,127.1443857
『효천지구 연계도로 확장공사』 추진상황(2019년 05월),완산구 삼천동2가 농협공판장,35.7936153,127.1093891
『효천지구 연계도로 확장공사』 추진상황(2019년 05월),전라북도 전주시 완산구 삼천동2가 344-1,35.7856901,127.1081599
『효천지구 연계도로 확장공사』 추진상황(2019년 05월),전북 전주시 완산구 삼천동2가,35.7850754,127.1007915
『효천지구 연계도로 확장공사』 추진상황(2019년 05월),전주시 진구 백제대로 명주사거리,35.8429971,127.1396713
『효천지구 연계도로 확장공사』 추진상황(2019년 05월),전주시 진구 백제대로 전주역,35.84977,127.161798
전주 첫 마중길 조성 사업,전북 전주시 완산구 서신동 27호광장지하차도,35.8338305,127.1222805
전주 첫 마중길 조성 사업,전라북도 전주시 완산구 중화산동2가,35.8195981,127.120609
서신(27호광장)지하차도 터널등 교체공사에 따른 차량통제 실시 알림,전라북도 전주시 노송동 노송천,35.8267752,127.1419495
어은 재해위험지구 정비사업,중화산동2가 746-3,35.8223532,127.1144597
노송천 목재시설물 정비공사,전주시완산구 효자동3가 1407-3,35.8364638,127.1040954
삼천 진입계단 신설공사,전북 전주시 덕진구 한배미1길 29,35.8235726,127.1654735
