학교명,Latitude,Longitude,건물등급,인적등급,재난등급,공사등급,간접등급,재산등급
서전주중학교 강당/급식소/교사,35.8103054,127.1127264,70,5,0,0,0,2
서전주중학교 교사,35.8103054,127.1127264,70,5,0,0,0,3
전라고등학교 전라고등학교 10동(기숙사),35.8599663,127.1248906,70,9,0,0,10,7
전라고등학교 전라고등학교 1동(본관),35.8599663,127.1248906,70,9,0,0,10,5
"전라고등학교 전라고등학교 2동(강당, 급식소)",35.8599663,127.1248906,70,9,0,0,10,7
전라고등학교 전라고등학교 6동(학습동),35.8599663,127.1248906,70,9,0,0,10,7
전라고등학교 전라고등학교 7동(정진관),35.8599663,127.1248906,70,9,0,0,10,7
전라북도교육문화회관 공연장동,35.8291331,127.1378158,70,7,0,0,8,9
전라북도교육문화회관 본관동,35.8291925,127.1375569,70,7,0,0,8,9
전라북도교육문화회관 예능관동,35.8291925,127.1375569,70,7,0,0,8,5
전라북도교육문화회관 체육관동,35.8291925,127.1375569,70,7,0,0,8,7
전라북도교육연구정보원 청사,35.8360812,127.1472577,60,5,0,0,2,5
전라북도완주교육지원청 완주교육지원청,35.8351919,127.1452227,70,1,0,0,0,8
전라북도전주교육지원청 영재교육원,35.830294,127.1368049,70,9,0,0,8,7
전라북도전주교육지원청 청사,35.8303723,127.1365045,70,8,0,0,6,8
전라중학교 교사3동,35.8379049,127.1233258,70,1,0,0,6,6
전북대 건지아트홀및휴게동,35.844182,127.1292776,70,10,0,0,10,5
전북대 공과대학 4호관,35.844182,127.1292776,80,9,0,0,10,5
전북대 공과대학 8호관,35.844182,127.1292776,70,9,0,0,10,3
전북대 공과대학1호관,35.844182,127.1292776,80,9,0,0,10,5
전북대 공과대학2호관,35.844182,127.1292776,80,9,0,0,10,5
전북대 공과대학3호관,35.844182,127.1292776,80,9,0,0,10,5
전북대 공과대학5호관,35.844182,127.1292776,70,9,0,0,10,5
전북대 공과대학6호관,35.844182,127.1292776,70,9,0,0,10,6
전북대 공과대학7호관,35.844182,127.1292776,85,9,0,0,10,3
전북대 공대부속공장,35.844182,127.1292776,70,10,0,0,10,6
전북대 글로벌인재관(구학습도서관),35.844182,127.1292776,80,10,0,0,10,5
전북대 농과대학1호관,35.844182,127.1292776,85,8,0,0,10,2
전북대 농과대학2호관,35.844182,127.1292776,85,8,0,0,10,5
전북대 농과대학3호관,35.844182,127.1292776,85,8,0,0,10,5
전북대 농과대학4호관,35.844182,127.1292776,85,8,0,0,10,2
전북대 농대본관,35.844182,127.1292776,85,8,0,0,10,2
전북대 농대본관(농업과학기술연구소),35.844182,127.1292776,85,8,0,0,10,3
전북대 농대시설재배온실,35.844182,127.1292776,85,8,0,0,10,5
전북대 대학본부(별관포함),35.844182,127.1292776,80,8,0,0,10,6
전북대 동아리전용관,35.844182,127.1292776,70,8,0,0,10,5
전북대 반도체물성연구소,35.844182,127.1292776,70,9,0,0,10,5
전북대 변전실,35.844182,127.1292776,85,8,0,0,10,5
전북대 사대부고(본관),35.8441821,127.1292777,85,10,0,0,10,5
전북대 사대부고생활관,35.8441821,127.1292777,85,10,0,0,10,3
전북대 사대부고체육관,35.8441821,127.1292777,85,10,0,0,10,3
전북대 사범대 과학관,35.844182,127.1292776,80,7,0,0,10,3
전북대 사범대 본관,35.844182,127.1292776,80,7,0,0,10,3
전북대 사회과학대학,35.844182,127.1292776,70,9,0,0,10,2
전북대 산학협련단별관,35.844182,127.1292776,70,9,0,0,10,3
전북대 상과대학 1호관,35.844182,127.1292776,80,8,0,0,10,2
전북대 상과대학 2호관,35.844182,127.1292776,85,8,0,0,10,3
전북대 생활과학대학,35.844182,127.1292776,70,10,0,0,10,1
전북대 생활관 3호관(진리관),35.844182,127.1292776,80,9,0,0,10,1
전북대 생활관 5호관(대동관),35.844182,127.1292776,70,8,0,0,10,2
전북대 생활관 관리동,35.844182,127.1292776,70,9,0,0,10,2
전북대 언어교육원,35.844182,127.1292776,80,10,0,0,10,1
전북대 예술대 미술관,35.844182,127.1292776,80,9,0,0,10,2
전북대 예술대 예체능관,35.844182,127.1292776,80,9,0,0,10,2
전북대 예술대학 2호관,35.844182,127.1292776,80,9,0,0,10,2
전북대 예술대학 본관,35.844182,127.1292776,70,9,0,0,10,3
전북대 의과대학1호관,35.8471872,127.1405894,80,7,0,0,8,1
전북대 의과대학2호관,35.8471872,127.1405894,80,7,0,0,8,1
전북대 의학계 학생회관,35.8471872,127.1405894,70,7,0,0,8,1
전북대 의학계도서관,35.8471872,127.1405894,80,4,0,0,8,1
전북대 인문과학대학 1호관,35.844182,127.1292776,70,8,0,0,10,1
전북대 인문과학대학 2호관,35.844182,127.1292776,80,6,0,0,10,3
